"Computer Science and Engineering","201401","201402","201403","201501","201502","201503","201601","201602","201603","201701","201702","201703","201801","201802","201803","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
ECON 201,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A,A:A
ECON 435,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 488,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 494,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECON 495,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EE 200,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E
EE 48008,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EL 310,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENRG 424,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENRG 426,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENS 203,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E
ENS 208,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E
ENS 216,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E,A:E
ENS 222,A,A,A,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENS 311,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENS 409,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,,
IE 404,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
IE 436,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
IF 333,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
IF 467,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
