"Visual Arts and Visual Communications Design","201901","201902","201903","202001","202002","202003","202101","202102","202103","202201","202202","202203","202301","202302","202303","202401","202402","202403","202501","202502","202503","202601"
VA 402,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2
VA 404,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2
VA 431,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,AArea,AArea,AArea,AArea,AArea,AArea,AArea
VA 433,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,AArea,AArea,AArea,AArea,AArea,AArea,AArea
VA 434,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,AArea,AArea,AArea,AArea,AArea,AArea,AArea
VA 440,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,CCore 2,AArea,AArea,AArea,AArea,AArea,AArea,AArea
CS 201,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,AArea:E,FFree:E,FFree:E,FFree:E,FFree:E,FFree:E,FFree:E,FFree:E
CS 450,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,,,,,
CULT 230,AArea,,,,,,,,,,,,,,,,,,,,,
CULT 299,AArea,AArea,AArea,,,,,,,,,,,,,,,,,,,
CULT 322,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 355,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 361,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 362,AArea,,,,,,,,,,,,,,,,,,,,,
CULT 368,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A
CULT 370,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 384,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,,,,
CULT 391,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 399,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 421,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,,,,,
CULT 432,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 451,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,,,
CULT 452,AArea,AArea,AArea,,,,,,,,,,,,,,,,,,,
CULT 453,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
CULT 491,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,,,,,
FILM 231,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,,,,,,,,
FILM 331,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 335,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 345,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 390,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 424,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 432,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 435,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 436,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
FILM 452,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,,,,,,,,
GEN 341,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,AArea:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A,FFree:A
GEN 343,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
GEN 410,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,AArea,FFree,FFree,FFree,FFree,FFree,FFree,FFree
